ACCESSION_NUMBER	CIK	REGISTRANT_NAME	FILE_NUM	LEI	ADDRESS1	ADDRESS2	CITY	STATE	COUNTRY	ZIP	PHONE
0001752724-24-234722	0000764624	Legg Mason Partners Income Trust	811-04254	549300Y1U2UCLTK83X35	620 Eighth Avenue	47th Floor	New York	US-NY	US	10018	1-877-656-3863
0001752724-24-234728	0000880366	Legg Mason Partners Investment Trust	811-06444	5493006N9MF7V29DK342	620 Eighth Avenue	47thFloor	New York	US-NY	US	10018	1-877-721-1926
0001752724-24-234721	0000764624	Legg Mason Partners Income Trust	811-04254	549300Y1U2UCLTK83X35	620 Eighth Avenue	47th Floor	New York	US-NY	US	10018	1-877-656-3863
0001145549-24-064852	0001027596	Advisors Series Trust	811-07959	2549003Z0J6URS6I4Y63	615 East Michigan Street		Milwaukee	US-WI	US	53202	626-914-7363
0001752724-24-234727	0000889512	Legg Mason Partners Institutional Trust	811-06740	54930003LJE4ZPPMRV82	620 Eighth Avenue	47thFloor	New York	US-NY	US	10018	1-877-656-3863
0001752724-24-234895	0000225375	Franklin California Tax Free Income Fund	811-02790	549300NHIZGUIQBNXY94	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0001752724-24-234906	0000225930	Templeton Funds	811-02781	549300821JJXJNIYNR98	300 S.E. 2nd Street		Fort Lauderdale	US-FL	US	33301-1923	954-527-7500
0001775697-24-000915	0000720064	BNY Mellon California AMT-Free Municipal Bond Fund, Inc.	811-03757	549300B33PF43SMEX442	240 Greenwich Street		New York	US-NY	US	10286	212 495 1784
0001752724-24-237966	0000859796	Japan Smaller Capitalization Fund, Inc.	811-05992	5493000KJSHWEB3YKZ37	309 West 49th St.	Worldwide Plaza	New York	US-NY	US	10019	800-833-0018
0001752724-24-239331	0000930667	iShares, Inc.	811-09102	549300MGJZCNMJLBAJ67	400 HOWARD STREET		SAN FRANCISCO	US-CA	US	94105	800-474-2737
0001752724-24-239314	0000930667	iShares, Inc.	811-09102	549300MGJZCNMJLBAJ67	400 HOWARD STREET		SAN FRANCISCO	US-CA	US	94105	800-474-2737
0001752724-24-239318	0000930667	iShares, Inc.	811-09102	549300MGJZCNMJLBAJ67	400 HOWARD STREET		SAN FRANCISCO	US-CA	US	94105	800-474-2737
0001752724-24-239362	0000930667	iShares, Inc.	811-09102	549300MGJZCNMJLBAJ67	400 HOWARD STREET		SAN FRANCISCO	US-CA	US	94105	800-474-2737
0001752724-24-239338	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-239391	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-239393	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-239356	0000930667	iShares, Inc.	811-09102	549300MGJZCNMJLBAJ67	400 HOWARD STREET		SAN FRANCISCO	US-CA	US	94105	800-474-2737
0001752724-24-274730	0001843841	DGI Investment Trust	811-23637	549300364OZKYHY9IN08	254 Munoz Rivera Ave	10th Floor	San Juan		PR	918	513-587-3400
0001145549-24-076381	0001970751	Advisor Managed Portfolios	811-23859	529900AK253W8LJALD89	615 East Michigan Street		Milwaukee	US-WI	US	53202-5210	4142873700
0001752724-24-274697	0001907437	Opportunistic Credit Interval Fund	811-23783	549300NJWLK76QJGNF34	650 MADISON AVENUE 3RD FLOOR		NEW YORK	US-NY	US	10022	2128912880
0001398344-24-022159	0000067160	MML SERIES INVESTMENT FUND	811-02224	VQ1HG47DNRJG3HBJH467	1295 State Street		Springfield	US-MA	US	01111-0001	4137441000
0001752724-24-274829	0000202032	AIM Growth Series (Invesco Growth Series)	811-02699	EHBZ0YMC2UFRMDIU6731	11 Greenway Plaza	Suite 1000	Houston	US-TX	US	77046-1173	800-959-4246
0001752724-24-274839	0000896435	AIM Variable Insurance Funds (Invesco Variable Insurance Funds)	811-07452	FC4UULIMJMGKBDUARB13	11 Greenway Plaza	Suite 1000	Houston	US-TX	US	77046-1173	800-959-4246
0001752724-24-274855	0001854919	Dynamic Alternatives Fund	811-23652	549300ET5QOX1UUQU108	5025 Arlington Centre Blvd.	Suite 300	Columbus	US-OH	US	43220	614-273-1000
0001145549-24-076516	0001655099	Brookfield Real Assets Income Fund Inc.	811-23157	5493007NX94W3HSQTJ60	Brookfield Place	250 Vesey Street, 15th Floor	New York	US-NY	US	10281	855-777-8001
0001752724-24-274842	0000896435	AIM Variable Insurance Funds (Invesco Variable Insurance Funds)	811-07452	FC4UULIMJMGKBDUARB13	11 Greenway Plaza	Suite 1000	Houston	US-TX	US	77046-1173	800-959-4246
0001145549-24-076714	0001633061	Amplify ETF Trust	811-23108	5493006EMX6222CPWJ71	3333 Warrenville Road	Suite 350	Lisle	US-IL	US	60532	855-267-3837
0001398344-24-022141	0000067160	MML SERIES INVESTMENT FUND	811-02224	VQ1HG47DNRJG3HBJH467	1295 State Street		Springfield	US-MA	US	01111-0001	4137441000
0001398344-24-022144	0000067160	MML SERIES INVESTMENT FUND	811-02224	VQ1HG47DNRJG3HBJH467	1295 State Street		Springfield	US-MA	US	01111-0001	4137441000
0001752724-24-274906	0000935015	Artisan Partners Funds Inc.	811-08932	549300VBCRY84OJ96193	875 E Wisconsin Ave		Milwaukee	US-WI	US	53202	414-390-6100
0001752724-24-274732	0001276070	COHEN & STEERS GLOBAL INFRASTRUCTURE FUND INC	811-21488	549300F6UXJ51JKSEL61	1166 Avenue of the Americas,	30th Floor	NEW YORK	US-NY	US	10036	212-832-3232
0001145549-24-076726	0001633061	Amplify ETF Trust	811-23108	5493006EMX6222CPWJ71	3333 Warrenville Road	Suite 350	Lisle	US-IL	US	60532	855-267-3837
0001398344-24-022142	0000067160	MML SERIES INVESTMENT FUND	811-02224	VQ1HG47DNRJG3HBJH467	1295 State Street		Springfield	US-MA	US	01111-0001	4137441000
0001145549-24-076515	0001520738	Brookfield Investment Funds	811-22558	549300JUAHG2XVXKPB91	Brookfield Place	250 Vesey Street, 15th Floor	New York	US-NY	US	10281	855-777-8001
0001145549-24-076607	0000030126	RMB Investors Trust	811-00994	549300570F7FXT1I1D59	115 South LaSalle Street	34th Floor	Chicago	US-IL	US	60603	800-462-2392
0001752724-24-274891	0000935015	Artisan Partners Funds Inc.	811-08932	549300VBCRY84OJ96193	875 E Wisconsin Ave		Milwaukee	US-WI	US	53202	414-390-6100
0001145549-24-076608	0000030126	RMB Investors Trust	811-00994	549300570F7FXT1I1D59	115 South LaSalle Street	34th Floor	Chicago	US-IL	US	60603	800-462-2392
0001145549-24-076709	0001633061	Amplify ETF Trust	811-23108	5493006EMX6222CPWJ71	3333 Warrenville Road	Suite 350	Lisle	US-IL	US	60532	855-267-3837
0001145549-24-072851	0000897111	Carillon Series Trust	811-07470	549300RNYMX90LFTNW23	880 Carillon Parkway	Building 6	St. Petersburg	US-FL	US	33716	7275671000
0001162044-24-001329	0001260667	ANCORA TRUST	811-21418	549300QN8N2QFNY1O803	6060 Parkland Boulevard	Suite 200	Cleveland	US-OH	US	44124	216-593-5020
0001752724-24-266934	0000823535	Variable Insurance Products Fund V	811-05361	S8GYVGVVOPTJ8G3T5C60	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0001145549-24-072848	0000897111	Carillon Series Trust	811-07470	549300RNYMX90LFTNW23	880 Carillon Parkway	Building 6	St. Petersburg	US-FL	US	33716	7275671000
0001145549-24-072867	0001511699	Managed Portfolio Series	811-22525	254900SQ3GG01NP4WM65	615 East Michigan Street		Milwaukee	US-WI	US	53202	414-516-1712
0001162044-24-001328	0001260667	ANCORA TRUST	811-21418	549300QN8N2QFNY1O803	6060 Parkland Boulevard	Suite 200	Cleveland	US-OH	US	44124	216-593-5020
0001752724-24-293016	0000946110	CREDIT SUISSE OPPORTUNITY FUNDS	811-09054	5493002UZ4JX82OVKQ12	ELEVEN MADISON AVENUE		NEW YORK	US-NY	US	10010	212-325-2000
0001752724-24-295993	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-295930	0000844779	BlackRock Funds	811-05742	549300OZUEVJZHOBFP42	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0001752724-24-296026	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-295919	0000844779	BlackRock Funds	811-05742	549300OZUEVJZHOBFP42	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0001752724-24-295954	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-296032	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-296033	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-295933	0000844779	BlackRock Funds	811-05742	549300OZUEVJZHOBFP42	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0001752724-24-295951	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001145549-24-080685	0000851680	Domini Investment Trust	811-05823	5493006VPRSG0L2XPG69	180 Maiden Lane	Suite 1302	New York	US-NY	US	10038	212-217-1100
0001752724-24-295991	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001145549-24-080682	0000851680	Domini Investment Trust	811-05823	5493006VPRSG0L2XPG69	180 Maiden Lane	Suite 1302	New York	US-NY	US	10038	212-217-1100
0001752724-24-296086	0001084380	TIAA-CREF Funds	811-09301	549300L8R42TEBN5NG46	730 Third Avenue		New York	US-NY	US	10017	800-842-2733
0001145549-24-080686	0000851680	Domini Investment Trust	811-05823	5493006VPRSG0L2XPG69	180 Maiden Lane	Suite 1302	New York	US-NY	US	10038	212-217-1100
0001752724-24-236422	0000714287	DEUTSCHE DWS STATE TAX-FREE INCOME SERIES	811-03657	A0OY3S0CZH04WSJCJM64	875 Third Avenue		NEW YORK	US-NY	US	10022-6225	212-454-4500
0001752724-24-236430	0000926425	DEUTSCHE DWS ASSET ALLOCATION TRUST	811-08606	OBQCJCH5PLZP8KWUJD96	875 Third Avenue		NEW YORK	US-NY	US	10022-6225	212-454-4500
0001752724-24-236428	0000846596	DWS STRATEGIC MUNICIPAL INCOME TRUST	811-05767	HW9ZECORLBPA6LHYL567	875 Third Avenue		NEW YORK	US-NY	US	10022-6225	212-454-4500
0001145549-24-065106	0000773757	Columbia Funds Series Trust I	811-04367	549300W5GIE6ZOZOTD82	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001145549-24-065114	0001352280	Columbia Funds Series Trust II	811-21852	549300ETFU8G7TK7WT48	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001145549-24-065113	0001352280	Columbia Funds Series Trust II	811-21852	549300ETFU8G7TK7WT48	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001752724-24-236498	0001667919	First Trust Exchange-Traded Fund VIII	811-23147	549300NT36PJKGP5Y765	120 East Liberty Drive	Suite 400	Wheaton	US-IL	US	60187	630-765-8000
0001145549-24-065137	0001352280	Columbia Funds Series Trust II	811-21852	549300ETFU8G7TK7WT48	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001752724-24-237081	0000783740	MFS SERIES TRUST X	811-04492	5493001MUVNRNUPJY164	111 HUNTINGTON AVENUE		BOSTON	US-MA	US	02199	617-954-5000
0001752724-24-237080	0000798244	MFS SERIES TRUST I	811-04777	549300QRB5FQ35HH3533	111 HUNTINGTON AVENUE		BOSTON	US-MA	US	02199	617-954-5000
0001145549-24-065134	0001097519	Columbia Funds Series Trust	811-09645	549300712V4UL3XCAB43	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001145549-24-065131	0001352280	Columbia Funds Series Trust II	811-21852	549300ETFU8G7TK7WT48	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001145549-24-065119	0001352280	Columbia Funds Series Trust II	811-21852	549300ETFU8G7TK7WT48	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0001752724-24-237091	0000063068	MFS SERIES TRUST IV	811-02594	549300SSA281MOJG8J61	111 HUNTINGTON AVENUE		BOSTON	US-MA	US	02199	617-954-5000
0001752724-24-237094	0000798244	MFS SERIES TRUST I	811-04777	549300QRB5FQ35HH3533	111 HUNTINGTON AVENUE		BOSTON	US-MA	US	02199	617-954-5000
0001752724-24-237098	0000845606	MFS HIGH INCOME MUNICIPAL TRUST	811-05754	0G9TCUWY2FBUXSJY2691	111 HUNTINGTON AVENUE		BOSTON	US-MA	US	02199	617-954-5000
0001752724-24-237096	0000798244	MFS SERIES TRUST I	811-04777	549300QRB5FQ35HH3533	111 HUNTINGTON AVENUE		BOSTON	US-MA	US	02199	617-954-5000
0001752724-24-237401	0001174610	ProShares Trust	811-21114	5493005D9DS7C1P5AM59	7272 Wisconsin Avenue		Bethesda	US-MD	US	20814	240-497-6400
0001752724-24-237106	0000063068	MFS SERIES TRUST IV	811-02594	549300SSA281MOJG8J61	111 HUNTINGTON AVENUE		BOSTON	US-MA	US	02199	617-954-5000
0001752724-24-237403	0001174610	ProShares Trust	811-21114	5493005D9DS7C1P5AM59	7272 Wisconsin Avenue		Bethesda	US-MD	US	20814	240-497-6400
0001752724-24-237397	0001174610	ProShares Trust	811-21114	5493005D9DS7C1P5AM59	7272 Wisconsin Avenue		Bethesda	US-MD	US	20814	240-497-6400
0001752724-24-237084	0000783740	MFS SERIES TRUST X	811-04492	5493001MUVNRNUPJY164	111 HUNTINGTON AVENUE		BOSTON	US-MA	US	02199	617-954-5000
0001752724-24-260771	0001077452	Pioneer Series Trust XIV	811-09223	549300REOIW9C4OPNH31	60 State Street		Boston	US-MA	US	02109	617-422-4947
0001752724-24-260857	0001039001	Voya Partners Inc	811-08319	5493008K4FXFGU5VMN14	7337 East Doubletree Ranch Road	Suite 100	Scottsdale	US-AZ	US	85258	1-800-992-0180
0001752724-24-260777	0001077452	Pioneer Series Trust XIV	811-09223	549300REOIW9C4OPNH31	60 State Street		Boston	US-MA	US	02109	617-422-4947
0001752724-24-260677	0001382990	ALPS VARIABLE INVESTMENT TRUST	811-21987	549300SIMUVTFTPVKY68	1290 BROADWAY SUITE 1000		DENVER	US-CO	US	80203	3036232577
0001752724-24-260855	0001015965	Voya VARIABLE PORTFOLIOS INC	811-07651	549300RRSJVUNTELG112	7337 East Doubletree Ranch Road	Suite 100	Scottsdale	US-AZ	US	85258	1-800-992-0180
0001592900-24-002350	0001592900	EA Series Trust	811-22961	5493004OW9VWINAYRX18	19 E Eagle Road		Havertown	US-PA	US	PA	2158829983
0001752724-24-260770	0001077452	Pioneer Series Trust XIV	811-09223	549300REOIW9C4OPNH31	60 State Street		Boston	US-MA	US	02109	617-422-4947
0001752724-24-260860	0001015965	Voya VARIABLE PORTFOLIOS INC	811-07651	549300RRSJVUNTELG112	7337 East Doubletree Ranch Road	Suite 100	Scottsdale	US-AZ	US	85258	1-800-992-0180
0001752724-24-260946	0001364608	First Trust Exchange-Traded Fund II	811-21944	549300HY3NFBU00W8S30	120 East Liberty Drive	Suite 400	Wheaton	US-IL	US	60187	630-765-8000
0001752724-24-260899	0000923184	Matthews International Funds	811-08510	5493007IYPQKGSDVTS49	Four Embarcadero Center	Suite 550	San Francisco	US-CA	US	94111	415-788-7553
0001752724-24-260901	0000923184	Matthews International Funds	811-08510	5493007IYPQKGSDVTS49	Four Embarcadero Center	Suite 550	San Francisco	US-CA	US	94111	415-788-7553
0001752724-24-260904	0000923184	Matthews International Funds	811-08510	5493007IYPQKGSDVTS49	Four Embarcadero Center	Suite 550	San Francisco	US-CA	US	94111	415-788-7553
0001752724-24-260917	0000923184	Matthews International Funds	811-08510	5493007IYPQKGSDVTS49	Four Embarcadero Center	Suite 550	San Francisco	US-CA	US	94111	415-788-7553
0001752724-24-260981	0000932381	TRIBUTARY CAPITAL MANAGEMENT, LLC	811-08846	2549000T9YMVQWFGOI81	1620 DODGE STREET		OMAHA	US-NE	US	68197	800-662-4203
0001752724-24-260948	0001364608	First Trust Exchange-Traded Fund II	811-21944	549300HY3NFBU00W8S30	120 East Liberty Drive	Suite 400	Wheaton	US-IL	US	60187	630-765-8000
0001752724-24-260920	0000355767	New Alternatives Fund	811-03287	5493003ZP2VPP1T7T708	150 BROADHOLLOW ROAD	SUITE PH 02	Melville	US-NY	US	11747	631-423-7373
0001752724-24-260945	0001552740	First Trust Exchange-Traded Fund VI	811-22717	549300ZLB3EUU3H8NE60	120 East Liberty Drive	Suite 400	Wheaton	US-IL	US	60187	630-765-8000
0001752724-24-261047	0001039001	Voya Partners Inc	811-08319	5493008K4FXFGU5VMN14	7337 East Doubletree Ranch Road	Suite 100	Scottsdale	US-AZ	US	85258	1-800-992-0180
0001752724-24-260861	0001039001	Voya Partners Inc	811-08319	5493008K4FXFGU5VMN14	7337 East Doubletree Ranch Road	Suite 100	Scottsdale	US-AZ	US	85258	1-800-992-0180
0001752724-24-260958	0001364608	First Trust Exchange-Traded Fund II	811-21944	549300HY3NFBU00W8S30	120 East Liberty Drive	Suite 400	Wheaton	US-IL	US	60187	630-765-8000
0001752724-24-260944	0001364608	First Trust Exchange-Traded Fund II	811-21944	549300HY3NFBU00W8S30	120 East Liberty Drive	Suite 400	Wheaton	US-IL	US	60187	630-765-8000
0001752724-24-235966	0001454889	SCHWAB STRATEGIC TRUST	811-22311	549300NAZEQOIX80E226	211 MAIN STREET		SAN FRANCISCO	US-CA	US	94105	800-648-5300
0001752724-24-236337	0000844779	BlackRock Funds	811-05742	549300OZUEVJZHOBFP42	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0001752724-24-236363	0001469192	NEW YORK LIFE INVESTMENTS FUNDS TRUST	811-22321	549300SQRLBSUG7RD002	51 Madison Avenue		New York	US-NY	US	10010	212-576-7000
0001752724-24-236495	0001667919	First Trust Exchange-Traded Fund VIII	811-23147	549300NT36PJKGP5Y765	120 East Liberty Drive	Suite 400	Wheaton	US-IL	US	60187	630-765-8000
0001752724-24-236429	0000088064	DEUTSCHE DWS INVESTMENT TRUST	811-00043	C6V3ZVV42DUKQSHF6341	875 Third Avenue		NEW YORK	US-NY	US	10022-6225	212-454-4500
0001752724-24-236432	0000088053	DEUTSCHE DWS INTERNATIONAL FUND, INC.	811-00642	549300UT7NMHUZHXST73	875 Third Avenue		NEW YORK	US-NY	US	10022-6225	212-454-4500
0001752724-24-236499	0001276469	Macquarie/First Trust Global Infrastructure/Utilities Dividend & Income Fund	811-21496	549300JL3ROR79GLM190	120 East Liberty Drive	Suite 400	Wheaton	US-IL	US	60187	630-765-8000
0001752724-24-236426	0000711600	DEUTSCHE DWS TAX FREE TRUST	811-03632	OIW3BT7ZMM086NH3EO53	875 Third Avenue		NEW  YORK	US-NY	US	10022-6225	212-454-4500
0001752724-24-237562	0000063068	MFS Series Trust IV	811-02594	549300SSA281MOJG8J61	111 Huntington Avenue		Boston	US-MA	US	02199	617-954-5000
0001752724-24-239324	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-239385	0000930667	iShares, Inc.	811-09102	549300MGJZCNMJLBAJ67	400 HOWARD STREET		SAN FRANCISCO	US-CA	US	94105	800-474-2737
0001752724-24-239370	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-239373	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-240544	0001657201	Invesco Exchange-Traded Self-Indexed Fund Trust	811-23304	549300U103VG1ABIOE62	3500 Lacey Road	Suite 700	Downers Grove	US-IL	US	60515	800-983-0903
0001752724-24-240239	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000869392-24-002144	0001005942	Putnam Funds Trust	811-07513	549300S9JYWEMKQCLW53	100 FEDERAL STREET		BOSTON	US-MA	US	02110	1-800-225-1581
0001752724-24-240554	0001657201	Invesco Exchange-Traded Self-Indexed Fund Trust	811-23304	549300U103VG1ABIOE62	3500 Lacey Road	Suite 700	Downers Grove	US-IL	US	60515	800-983-0903
0001752724-24-240241	0000930667	iShares, Inc.	811-09102	549300MGJZCNMJLBAJ67	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001752724-24-240523	0001657201	Invesco Exchange-Traded Self-Indexed Fund Trust	811-23304	549300U103VG1ABIOE62	3500 Lacey Road	Suite 700	Downers Grove	US-IL	US	60515	800-983-0903
0001752724-24-240534	0001657201	Invesco Exchange-Traded Self-Indexed Fund Trust	811-23304	549300U103VG1ABIOE62	3500 Lacey Road	Suite 700	Downers Grove	US-IL	US	60515	800-983-0903
0001752724-24-240527	0001657201	Invesco Exchange-Traded Self-Indexed Fund Trust	811-23304	549300U103VG1ABIOE62	3500 Lacey Road	Suite 700	Downers Grove	US-IL	US	60515	800-983-0903
0000918294-24-000250	0000918294	T. ROWE PRICE EQUITY SERIES, INC.	811-07143	549300U8GAQGX2UFFV03	100 East Pratt Street		Baltimore	US-MD	US	21202	410-345-2000
0000834798-24-000041	0000834798	T. ROWE PRICE SMALL-CAP VALUE FUND, INC.	811-2215-99	549300QNTZKGOOXSAK62	100 East Pratt Street		Baltimore	US-MD	US	21202	410-345-2000
0001002624-24-000041	0001002624	T. ROWE PRICE HEALTH SCIENCES FUND, INC.	811-07381	549300ELV6FPY6UQBJ78	100 East Pratt Street		Baltimore	US-MD	US	21202	410-345-2000
0001752724-24-270107	0000890540	ADVISORS' INNER CIRCLE FUND II	811-07102	549300OEHDTB2ALCAX69	ONE FREEDOM VALLEY DRIVE		OAKS	US-PA	US	19456	8774463863
0001012968-24-000227	0001012968	T. Rowe Price Equity Funds, Inc.	811-07639	5493001JE5UESPEILY31	100 East Pratt Street		Baltimore	US-MD	US	21202	410-345-2000
0000887147-24-000041	0000887147	T. ROWE PRICE MID-CAP GROWTH FUND, INC.	811-06665	549300H4FB9U29ZK0L79	100 East Pratt Street		Baltimore	US-MD	US	21202	410-345-2000
0000927845-24-000041	0000927845	T. ROWE PRICE VALUE FUND, INC.	811-07209	549300EW4YHV7OVARC82	100 East Pratt Street		Baltimore	US-MD	US	21202	410-345-2000
0001038469-24-000154	0001038469	T. ROWE PRICE INTEGRATED EQUITY FUNDS, INC.	811-08203	NK54V6P11ERQV3U37N10	100 East Pratt Street		Baltimore	US-MD	US	21202	410-345-2000
0000313212-24-001052	0000313212	T. ROWE PRICE INTERNATIONAL FUNDS, INC.	811-02958	549300O4BT3AMY6OUC26	100 East Pratt Street		Baltimore	US-MD	US	21202	410-345-2000
0001038469-24-000155	0001038469	T. ROWE PRICE INTEGRATED EQUITY FUNDS, INC.	811-08203	NK54V6P11ERQV3U37N10	100 East Pratt Street		Baltimore	US-MD	US	21202	410-345-2000
0001038469-24-000157	0001038469	T. ROWE PRICE INTEGRATED EQUITY FUNDS, INC.	811-08203	NK54V6P11ERQV3U37N10	100 East Pratt Street		Baltimore	US-MD	US	21202	410-345-2000
0000808303-24-000115	0000808303	T. ROWE PRICE SPECTRUM FUND, INC.	811-04998	549300C4CNSW3NCPIM75	100 East Pratt Street		Baltimore	US-MD	US	21202	410-345-2000
0001019286-24-000041	0001019286	T. ROWE PRICE FINANCIAL SERVICES FUND, INC.	811-07749	549300G1KHUY9LO6U864	100 East Pratt Street		Baltimore	US-MD	US	21202	410-345-2000
0001012968-24-000229	0001012968	T. Rowe Price Equity Funds, Inc.	811-07639	5493001JE5UESPEILY31	100 East Pratt Street		Baltimore	US-MD	US	21202	410-345-2000
0001116626-24-000041	0001116626	T. ROWE PRICE GLOBAL TECHNOLOGY FUND, INC.	811-09995	549300104XKH7W3RZW73	100 East Pratt Street		Baltimore	US-MD	US	21202	410-345-2000
0002000324-24-003240	0001484018	SPINNAKER ETF SERIES	811-22398	54930056GHDI2JOI6X90	116 SOUTH FRANKLIN STREET		ROCKY MOUNT	US-NC	US	27804-5707	252-972-9922
0001752724-24-271055	0000855396	LORD ABBETT SERIES FUND INC	811-05876	549300MNKALF1QZZNY95	30 HUDSON STREET		JERSEY CITY	US-NJ	US	07302	201-827-2000
0001752724-24-271052	0000855396	LORD ABBETT SERIES FUND INC	811-05876	549300MNKALF1QZZNY95	30 HUDSON STREET		JERSEY CITY	US-NJ	US	07302	201-827-2000
0001752724-24-271067	0000737800	LORD ABBETT MUNICIPAL INCOME FUND INC	811-03942	549300XUEL89M6K51F43	30 HUDSON STREET		JERSEY CITY	US-NJ	US	07302	201-827-2000
0001752724-24-271046	0000716788	LORD ABBETT MID CAP STOCK FUND INC	811-03691	549300S84HXH88VH3R09	30 HUDSON STREET		JERSEY CITY	US-NJ	US	07302	201-827-2000
0001413042-24-000915	0001103243	PFS FUNDS	811-09781	549300QPH5FGDXI8HN15	1939 FRIENDSHIP DRIVE STE C		EL CAJON	US-CA	US	92020	619-588-9700
0001104659-24-123655	0001554625	Prospect Priority Income Fund, Inc.	811-22725	549300QXQ3QH1Z59TL58	10 East 40th Street, 42nd Floor		New York	US-NY	US	10016	212-448-0702
0001752724-24-275014	0001350487	WisdomTree Trust	811-21864	549300SEVJBU47TE8855	250 West 34th Street	3rd Floor	New York	US-NY	US	10119	866-909-9473
0001752724-24-274974	0001199046	Unified Series Trust	811-21237	549300NFHRL589EP7U13	225 Pictoria Drive	Suite 450	Cincinnati	US-OH	US	45246	513-587-3400
0001145549-24-076725	0001633061	Amplify ETF Trust	811-23108	5493006EMX6222CPWJ71	3333 Warrenville Road	Suite 350	Lisle	US-IL	US	60532	855-267-3837
0001398344-24-022151	0000067160	MML SERIES INVESTMENT FUND	811-02224	VQ1HG47DNRJG3HBJH467	1295 State Street		Springfield	US-MA	US	01111-0001	4137441000
0001145549-24-076519	0001520738	Brookfield Investment Funds	811-22558	549300JUAHG2XVXKPB91	Brookfield Place	250 Vesey Street, 15th Floor	New York	US-NY	US	10281	855-777-8001
0001752724-24-274909	0000935015	Artisan Partners Funds Inc.	811-08932	549300VBCRY84OJ96193	875 E Wisconsin Ave		Milwaukee	US-WI	US	53202	414-390-6100
0001752724-24-274990	0001350487	WisdomTree Trust	811-21864	549300SEVJBU47TE8855	250 West 34th Street	3rd Floor	New York	US-NY	US	10119	866-909-9473
0001752724-24-275017	0001350487	WisdomTree Trust	811-21864	549300SEVJBU47TE8855	250 West 34th Street	3rd Floor	New York	US-NY	US	10119	866-909-9473
0001752724-24-275078	0001856156	FS MVP Private Markets Fund	811-23656	9845006EA4ADD61C2H27	9 OLD KINGS HIGHWAY		DARIEN	US-CT	US	06820	2036623456
0001145549-24-076925	0001212030	Grosvenor Registered Multi-Strategy Master Fund, LLC	811-21274	549300TI68SQQEHTB818	900 North Michigan Avenue	Suite 1100	Chicago	US-IL	US	60611	3125066500
0001752724-24-275045	0001859001	WisdomTree Digital Trust	811-23659	549300NY04UPBR9ODB18	250 WEST 34TH STREET	3RD FLOOR	NEW YORK	US-NY	US	10119	866-909-9473
0001752724-24-275735	0000796229	Teton Westwood Funds	811-04719	549300F5AG1CXKI4KV24	One Corporate Center		Rye	US-NY	US	10580-1422	1-800-422-3554
